	logFC	logCPM	PValue	FDR
FGRRES_13024	0.3830829	6.777824	0.4864152	0.5969948
FGRRES_13029	-1.877489	1.254016	0.01339401	0.03321115
FGRRES_13030	-0.8935026	4.193433	0.1218827	0.2040717
FGRRES_13031	1.048597	3.694492	0.116079	0.1963843
FGRRES_13033_M	1.835288	5.088209	0.002840853	0.008916073
FGRRES_13041	1.432117	2.983396	0.02967494	0.06442532
FGRRES_13044	-0.5902766	2.712499	0.4149456	0.5309993
FGRRES_13045_6_M	1.479035	1.317287	0.04926334	0.09802989
FGRRES_13048_M	-4.46947608460742	5.23056224694802	9.72214583394848e-15	2.4826929114316e-13
FGRRES_13049	-0.6581296	1.251749	0.5150167	0.6227135
FGRRES_13052	1.146866	2.520867	0.08044305	0.1458728
FGRRES_13053	1.29118	4.836491	0.01410522	0.03465006
FGRRES_13057	1.547423	4.633683	0.005794512	0.01626269
FGRRES_13061	-4.61567533785913	2.70359525286184	3.52363670684652e-08	3.97526290846208e-07
FGRRES_13064	0.3090972	6.135756	0.5562124	0.6580805
FGRRES_13065	-1.435218	0.9702679	0.1272653	0.2111943
FGRRES_13066	-0.6056371	2.493189	0.4035311	0.5203806
FGRRES_13068	-0.8841503	2.256602	0.1981941	0.2992878
FGRRES_13074	-1.334122	3.407181	0.04715837	0.09485836
FGRRES_13077	3.434294	0.3428724	0.002604831	0.008275828
FGRRES_13083	-1.285304	3.806647	0.03767549	0.07884536
FGRRES_13084	0.5405634	6.520839	0.3228313	0.437366
FGRRES_13089	-2.912682	2.469602	8.446527e-05	0.0004205053
FGRRES_13101	-2.119812	2.724093	0.003027455	0.009411907
FGRRES_13102	0.00200412	4.567673	0.9786221	0.9813244
FGRRES_13103	0.5086186	2.381429	0.48329	0.5940143
FGRRES_13105	-0.9683492	3.775688	0.09875926	0.1722099
FGRRES_13106_16799_M	-2.458645	6.839324	6.361088e-05	0.0003257994
FGRRES_13109	-0.8892353	2.34943	0.205491	0.3078252
FGRRES_13110	0.5309072	5.814875	0.3735733	0.4893062
FGRRES_13111	0.9028516	6.834134	0.1193221	0.2006201
FGRRES_13114	-1.709534	2.239602	0.01675041	0.04000708
FGRRES_13118	-1.321565	6.985427	0.02064104	0.0477445
FGRRES_13119	-3.159056	4.22125	3.9424e-05	0.0002117113
FGRRES_13120	1.864289	4.46896	0.00067869	0.002594513
FGRRES_13121	-0.7380278	6.843719	0.1809391	0.2786046
FGRRES_13122	-3.885568	0.3949797	0.00121214	0.004275382
FGRRES_13127	1.807248	2.487306	0.006536362	0.01805986
FGRRES_13128	1.12203	5.599427	0.03101426	0.06686486
FGRRES_13130	-1.720427	4.749371	0.001924404	0.006370607
FGRRES_13136	-0.3759094	8.835145	0.5289951	0.6343149
FGRRES_13137	-3.125687	8.594564	4.729715e-05	0.0002490616
FGRRES_13142	-0.2365991	2.000862	0.7423797	0.8158353
FGRRES_13145	3.006654	1.398757	0.0003197851	0.001354127
FGRRES_13146	-0.236518	1.583615	0.6609896	0.7485882
FGRRES_13147	0.838021	0.7236506	0.3721639	0.4878723
FGRRES_13148	-1.316757	4.814919	0.01724877	0.04101684
FGRRES_13152	2.150341	4.130912	0.0002088245	0.000938068
FGRRES_13153	-3.46894476838571	4.89665579388376	5.24790009100991e-09	6.92888803986989e-08
FGRRES_13157	3.82211550133001	4.86405111984291	1.71737149097838e-11	3.14310839655791e-10
FGRRES_13231	-1.009467	6.553568	0.06755465	0.1268022
FGRRES_13234	-0.4985934	2.509754	0.4255342	0.5415453
FGRRES_13235	-1.047706	0.4670336	0.3774553	0.4932598
FGRRES_13237	-5.74794539037029	1.8922717887011	3.63979627437656e-07	3.33919771477674e-06
FGRRES_13238	2.118827	0.9141909	0.009891829	0.02574485
