	logFC	logCPM	PValue	FDR
FGRRES_03923	1.599798	0.9893792	0.04476424	0.09092763
FGRRES_03924	0.4592143	1.457044	0.5377034	0.6422732
FGRRES_03929	0.2321646	2.2843	0.7186233	0.795514
FGRRES_03933	0.9507888	3.241322	0.1658553	0.260082
FGRRES_03934_M	-0.8697819	6.297573	0.172347	0.2677471
FGRRES_03935	-0.1118198	6.878741	0.8458927	0.8920876
FGRRES_03936	-0.1751477	7.453473	0.7704548	0.8380182
FGRRES_03940	-0.542255	3.803972	0.4074452	0.5238678
FGRRES_03941	0.1471532	3.735674	0.3567706	0.47266
FGRRES_03942	1.208163	3.672822	0.1010785	0.1756354
FGRRES_03944	0.9337847	3.355504	0.1435641	0.2315846
FGRRES_03946	0.4521461	8.598428	0.4596099	0.5718383
FGRRES_03947	0.8107081	3.294893	0.2185701	0.3227404
FGRRES_03953_M	-0.5077366	4.383315	0.3504411	0.4662823
FGRRES_03957	-0.7616842	6.37971	0.147522	0.2364579
FGRRES_03971	-1.117735	6.362885	0.0387881	0.08081536
FGRRES_03975	-1.201776	8.047815	0.04238333	0.08697037
FGRRES_03976	-0.9887743	5.759277	0.0659317	0.1243798
FGRRES_03979	0.4214721	5.662868	0.4300491	0.5454391
FGRRES_03986	1.314516	7.568127	0.04888281	0.09745558
FGRRES_03989	0.1951375	0.6990222	0.6061805	0.7013584
FGRRES_03990	-0.526984	2.563238	0.4236948	0.5397136
FGRRES_03992	-1.592719	10.50126	0.02214607	0.05064291
FGRRES_03994_M	-0.6415769	7.005355	0.2591722	0.368988
FGRRES_03997	0.6453691	5.560961	0.3389574	0.4542172
FGRRES_03998	-0.5159599	5.304779	0.3428287	0.458499
FGRRES_03999	0.09144976	4.904924	0.8763406	0.9127567
FGRRES_04000	1.193187	6.631519	0.05102897	0.1008224
FGRRES_04002	0.8796329	8.784807	0.1380404	0.2248128
FGRRES_04003	0.4355743	6.568006	0.4653607	0.5776029
FGRRES_04004	0.3395411	4.424018	0.5372852	0.6419857
FGRRES_04008	-0.1053616	2.706861	0.8743499	0.911497
FGRRES_04015	-1.429732	8.447549	0.03954196	0.08207093
FGRRES_04016	0.3424164	3.388867	0.6029054	0.6985515
FGRRES_04020	-0.8471883	3.735962	0.184527	0.2829831
FGRRES_04024_M	1.094877	1.978291	0.1042008	0.1801643
FGRRES_04026	1.397558	3.673969	0.02354629	0.05318373
FGRRES_04030_M	-0.3006832	5.13989	0.5755321	0.6759196
