	logFC	logCPM	PValue	FDR
FGRRES_11335	-0.2466245	0.4992438	0.531775	0.6371555
FGRRES_11337	-1.75008	1.98508	0.04957803	0.09856575
FGRRES_11339	-5.26070216192945	4.95224064617103	3.20784518777824e-06	2.30104056992447e-05
FGRRES_11340	-2.111017	1.166965	0.01828642	0.04305977
FGRRES_11341	-3.177973	1.079063	0.003702902	0.01114465
FGRRES_11342	-11.5349587063521	5.01758643472176	1.75428898505539e-11	3.2052690833007e-10
FGRRES_11343	-1.777299	0.5551932	0.1769864	0.273623
FGRRES_11344	2.152563	0.8011952	0.01447525	0.03538285
FGRRES_11347	2.613371	4.450478	3.882066e-05	0.0002088848
FGRRES_11348	5.13346677066122	2.57212467116374	3.68213047042752e-09	5.00152215213391e-08
FGRRES_11356	1.920994	0.0868071	0.05827654	0.1124001
FGRRES_11358	-1.222624	1.949403	0.08946182	0.1586226
FGRRES_11363	-0.1154369	0.5841864	0.8996493	0.9298946
FGRRES_11366	1.596236	5.571544	0.01488824	0.03625355
FGRRES_11367	0.2642577	4.762737	0.6975346	0.7782814
FGRRES_11368	7.86219476117223	10.3007774413905	4.81065651265078e-19	1.70065326162212e-17
FGRRES_11372	-1.859213	2.0646	0.009003336	0.0236651
FGRRES_11373	6.470842	0.2292869	0.0002925511	0.001255956
FGRRES_11374	-2.184919	4.281044	0.0002388818	0.001053468
FGRRES_11375	-4.39213349669898	5.78327542668425	1.43416133048834e-10	2.37996222015137e-09
FGRRES_11376	-0.8290324	0.5039769	0.6058276	0.7010392
FGRRES_11377	-3.01784734864446	3.77179803221602	1.97210687963996e-05	0.000114824441870882
FGRRES_11379	-10.1750848607738	3.70453552355185	5.25414285605645e-17	1.61997762547672e-15
FGRRES_11381	1.782302	0.4161193	0.04771857	0.09572468
FGRRES_11383	-1.416755	3.3611	0.02927494	0.06370983
FGRRES_11385	-9.89028548962838	3.43404292494261	4.79983496158822e-14	1.14238177276572e-12
FGRRES_11386	-2.224786	3.378323	0.002478229	0.00793165
FGRRES_11387	-3.01740784670422	3.69768434840962	1.21616263448172e-05	7.48594493296066e-05
FGRRES_11389	-0.5498759	0.8452499	0.5386192	0.6431549
FGRRES_11395	6.72275761757269	2.33761970258846	1.73129719582831e-09	2.48213586080907e-08
FGRRES_11396	8.94861764674038	2.35775117498687	5.75223199756139e-11	9.98863581912541e-10
FGRRES_11397	8.97088654461384	2.3479203333962	2.44836047839406e-10	3.98381653253534e-09
FGRRES_11398	4.63941526375114	4.98731735622884	6.14009562884932e-15	1.61743829757043e-13
FGRRES_11399	8.88697044312783	4.4849386451307	2.90766077243322e-38	2.06253871655018e-36
FGRRES_11400	0.1262912	3.715644	0.8275029	0.8787305
FGRRES_11403	-0.5974024	3.502279	0.4309428	0.5461543
FGRRES_11405	8.81967419297064	2.26764761677296	1.47331382814806e-10	2.43748094159922e-09
FGRRES_11406	-8.23229362348168	1.91498578699501	4.65640569282864e-07	4.16276531995628e-06
FGRRES_11407	-0.9903556	4.957927	0.1048481	0.1810589
FGRRES_11408	4.68175161426784	3.78445701475157	7.46830016549254e-11	1.27643246765497e-09
FGRRES_11409	-2.751164	3.42936	0.0004052968	0.001661763
FGRRES_11410	0.02477327	0.4773401	0.9267284	0.9484001
FGRRES_11411	-0.9735488	5.77176	0.08952199	0.1586775
FGRRES_11413	10.2733118933412	5.89587556670363	1.79840666697678e-130	4.06627240764563e-128
FGRRES_11417	-1.667346	2.074648	0.02697688	0.0596415
FGRRES_11420	1.867215	4.277076	0.003838547	0.01149235
FGRRES_11421	-1.543204	2.872131	0.02554843	0.05711165
