GC content	Induction>1.5	Variants	M.H3K27me3	M.H3K4me2	M.H3K4me3
47.12	1.603760323	179.167	39999	5386	7647
47.556	2.322926522	98.8333	38947	5116	7849
48.488	1.527352298	126	30539	15981	25302
48.152	NA	90.3333	30479	17190	25262
47.92	NA	133.833	37486	9312	8620
47.66	NA	111.333	32609	8786	22636
49.748	NA	180.833	31379	17367	19183
47.716	9.78556701	77.3333	39084	5603	7987
48.248	2.01367321	148.667	40224	7370	9141
47.76	NA	178.167	35369	7165	8277
46.976	NA	123.667	36125	14425	10795
47.924	NA	141.833	32893	21350	47146
47.996	1.728140376	101.667	32867	6442	7970
48.32	NA	113	26624	13553	27831
48.252	NA	102	32057	5596	7776
47.156	NA	145.167	40911	5972	7729
50.036	NA	55.8333	23380	12207	20132
47.172	3.42140362	106.833	38755	6498	8352
47.492	NA	101.5	43205	5928	7606
47.2	NA	139.167	41524	5243	7500
47.732	2.411644303	162.5	36196	8162	7592
47.4	NA	61.5	41183	5110	7384
47.98	2.072299169	92.6667	34837	11955	18147
47.424	NA	57.3333	41143	5148	7510
49.08	5.773584906	60.5	28739	6291	13774
47.78	NA	123.5	33974	9867	22781
48.096	NA	99.1667	33812	14385	22075
47.756	NA	75.5	38806	10451	15491
47.336	NA	91.1667	37565	11219	17788
48.324	NA	109.667	33995	7590	9531
46.656	8.098325615	135.5	42715	5827	7395
47.92	NA	123.5	36643	9237	8286
47.992	NA	122	39341	4838	7136
46.24	NA	52	38931	7850	10348
47.64	1.68	80	36959	8991	14997
48.196	3.057403509	80	36930	5850	7662
46.964	1.639190018	142.667	41973	6778	7745
46.732	4.436811406	154.5	41955	4920	7197
47.852	NA	44.3333	44045	5336	7382
47.396	NA	39.3333	44912	6701	7882
47.648	NA	50.8333	40220	5564	7425
47.284	NA	63.8333	34535	8698	11364
47.732	3.802809706	78.1667	37906	4828	7113
47.264	9.19453274	96.3333	36723	6664	6969
47.696	NA	119.333	39550	4769	6670
47.604	NA	61.1667	40113	4638	6857
47.452	NA	60.6667	39092	5957	6832
47.716	6.653154496	80.8333	35782	8795	7780
47.768	4.442901235	78.3333	38846	4731	7107
48.22	4.077790304	100.333	34013	4653	7394
47.58	NA	120.667	40013	10546	12558
48.54	NA	95.6667	37364	6162	7797
48.764	NA	116.333	30414	5476	7639
47.784	NA	100.333	38562	11864	10648
47.816	10.42521368	82.3333	37874	14927	15432
47.236	4.261077844	84.5	39505	5296	7776
47.724	NA	90.5	38667	6414	9549
48.64	NA	61.5	30701	10543	9749
47.912	NA	98	38451	4934	7206
50.444	NA	136.167	15265	12995	10063
48.028	NA	79.1667	39995	8087	7864
46.992	1.677308294	129.833	42141	6048	8236
48.888	2.295152722	117.333	32438	15851	35657
47.072	NA	114.667	42556	7412	8055
48.504	NA	125	29042	24419	36706
47.44	1.522280552	234.5	35978	10264	11763
46.796	NA	185	38604	5802	7628
48.608	NA	128.333	34230	9666	20398
46.624	8.790688652	137.333	43666	5327	7740
48.5	NA	78	39809	7367	9735
47.732	NA	87.8333	36458	6263	7872
47.424	2.437763713	254.667	34081	9899	16465
47.584	NA	143.833	41490	6380	7722
47.484	NA	198.167	41876	6032	7652
47.06	NA	187.333	40895	4663	6790
46.708	NA	77.8333	40323	5872	7469
47.368	NA	69.6667	39026	5369	6951
48.244	NA	96	38274	5094	7231
47.812	NA	87.8333	31828	6825	7776
46.52	1.65637776	178.833	40871	5340	7231
47.352	NA	80.8333	39014	9827	10258
47.072	NA	84.3333	36595	7949	8579
47.512	1.658770394	80.1667	35697	10386	15605
49.696	NA	67.5	18143	26033	31027
46.492	6.709623028	66.5	37419	6919	8383
48.628	NA	41.3333	13057	42884	45482
48.668	2.43855771	102.333	11763	32516	30153
47.076	NA	91.5	40726	5905	8154
48.172	NA	48.8333	17019	28075	19319
49.696	NA	22.5	4888	37329	36442
49.312	NA	20.3333	4776	43466	43836
49.472	NA	36.5	5410	29338	27159
48.524	NA	26.8333	5535	11949	9169
47.796	NA	81.1667	22657	15526	23089
49.16	2.439031239	40.5	18644	23373	44112
47.272	NA	37	36869	5965	8292
48.124	NA	24.1667	16118	23015	22556
47.668	NA	24.8333	13892	26688	25164
49.036	NA	15.1667	5384	46687	56161
48.104	NA	19.3333	5599	39129	52127
49.836	NA	9.16667	5228	52440	61958
49.764	NA	19.1667	4960	37302	35900
48.436	NA	13.6667	5987	36751	36874
49.544	NA	14.3333	5264	30223	29403
48.696	2.738947368	25.5	5329	27016	30310
47.828	5.273155584	14.6667	5131	30060	38081
48	NA	14.5	5130	20712	19675
49.6	2.914592659	10.5	4702	39139	50940
47.712	2.076079427	13.8333	5393	13947	13235
49.224	NA	18.6667	5560	14861	15650
49.996	NA	4.16667	4712	27017	30437
48.416	2.105168808	7	5249	20223	19340
47.984	NA	3.66667	8051	20644	15503
47.948	NA	7.66667	7882	36749	31510
47.06	11.79698958	14.1667	5263	9419	8806
49.324	NA	4.33333	5157	30198	25792
48.164	NA	8.33333	8225	18746	16386
47.256	3.155809524	15	14735	28856	16918
49.104	1.585058215	8.33333	4785	37038	40341
48.56	1.738961039	11.1667	5253	37569	40601
48.812	NA	5.5	5219	49553	38474
49.26	NA	15.3333	5516	33363	21129
48.684	NA	11.5	5058	36709	27080
49.072	NA	12.5	5108	24741	29174
49.156	NA	6.33333	4931	30382	46507
48.668	2.590415335	55.8333	6422	47377	45414
48.076	NA	10.8333	15140	37872	35842
48.936	NA	10	10273	24812	25922
47.976	NA	18.5	12473	14416	11406
48.852	NA	17.3333	5000	44257	52619
48.948	NA	9.16667	5063	31250	32006
48.256	NA	9	14803	35409	47288
49.18	NA	14.8333	4895	33105	45401
47.536	NA	39.5	8528	26992	25375
48.16	NA	134.167	5125	14044	23925
49.476	2.218376597	106	4813	36270	31609
48.232	2.149385657	19.8333	5379	43487	57576
48.78	3.183801511	22.1667	5097	50807	50085
49.328	1.782879777	12.3333	5193	37372	45840
49.912	NA	11.8333	5000	31540	45015
48.764	NA	12.5	6104	12042	19124
46.38	NA	40.6667	34688	8500	8045
48.892	NA	43.1667	14261	5736	7602
48.896	NA	39	13427	25732	20307
49.704	NA	47.6667	5099	23634	19269
47.796	NA	56	5035	7202	7856
47.636	2.943849121	109.167	5457	13117	16990
48.88	2.202316763	35.3333	5016	29792	47398
50.224	NA	32.1667	5620	32608	46185
47.26	NA	249	34855	13896	17436
46.82	NA	182.167	40840	6948	7489
46.888	5.495596007	184.833	38276	5414	7637
48.16	70.25411335	411.5	34146	10210	15561
46.152	NA	409.5	41212	5437	7340
45.776	NA	243	38388	5525	7293
47.08	NA	269.167	36634	8361	13951
47.608	NA	213.833	25475	24829	34775
48.164	NA	199	15139	14704	24060
49.944	NA	156.833	15488	11462	10311
49.632	3.799928851	128.167	14126	23800	47453
48.284	NA	108.667	33988	5269	7722
46.38	NA	143.667	40841	5114	6864
47.012	13.17840127	211.333	39157	5156	6956
45.364	NA	377.833	44885	5410	6922
46.18	6.648132059	298.333	43254	5250	6818
46.932	NA	317.333	37384	9294	7788
47.284	NA	206.333	37950	4908	6910
47.76	9.652542373	262.5	38561	4777	6908
46.968	11.6364049	240.167	40239	5308	6881
46.316	3.12293578	253.333	41551	4969	6978
41.924	NA	154	42157	4945	6358
47.148	NA	80.8333	42527	4919	6579
34.644	NA	149.667	29750	4192	5051
46.772	1.913347921	181.667	43965	8769	9149
47.992	NA	167.5	42116	4854	6544
43.796	2.912217195	132	38293	4618	6221
46.636	NA	112.5	45464	5342	6649
46.164	4.099337748	163.5	43761	5913	6805
46.18	NA	70.1667	44967	5473	6815
45.128	3.824120603	51	48025	5051	6580
32.43195319	68	59.5	27911	3884	4455
42.064	NA	92	42333	5039	6250
44.48	4.508196721	80.6667	42042	4657	6467
45.328	89.89189189	117.5	42097	4852	6426
45.64	NA	225.833	46710	5511	7041
43.72	NA	143.5	38744	4483	6431
47.108	NA	15.6667	41207	5932	7698
46.556	NA	100.667	45232	5998	8164
46.144	8.681081081	110.333	43124	5521	7075
46.584	NA	271	42945	7375	7893
46.472	NA	198.5	42523	6959	6973
47.432	NA	57.6667	43659	4717	6791
46.396	NA	79.8333	42202	6085	7127
46.664	NA	158.667	43464	4737	6977
46.74	NA	94.1667	43749	6234	7183
46.744	2.388118812	65.3333	45005	5067	6982
47.992	NA	37.1667	30142	13779	11595
46.616	NA	108.167	45801	5859	7207
47.344	NA	103.833	41289	4962	6714
46.012	4.028513238	95	43283	5709	7121
45.664	NA	225.167	42110	5645	7102
47.216	3.497572816	258.667	41401	5424	6926
48.44	NA	58.3333	31766	18769	19035
50.016	NA	28.3333	17925	28128	26122
47.344	NA	23.5	35630	6400	7991
48.824	NA	29.3333	5640	34196	42627
49.808	2.819306499	29.6667	5376	20567	28747
46.712	2.679767844	53.3333	6125	33041	24633
47.596	NA	25.5	33843	13352	18107
49.952	NA	8	5526	45561	43536
48.024	NA	21.5	26747	11483	18041
47.9	NA	24.5	36016	5241	7516
48.22	NA	19	31997	26042	19636
48.204	1.827362293	18.8333	5905	28019	28936
48.62	NA	14.3333	5275	17051	17158
48.58	5.40784821	17	5759	32137	35976
48.624	NA	20.6667	4750	28319	35092
48.024	3.295987286	17.8333	4799	22670	21343
48.44	NA	18.6667	4969	38208	34577
48.7	NA	16	5014	24039	27053
48.632	NA	18.3333	5198	16454	16044
48.464	NA	19	4943	23657	27161
48.756	NA	13.3333	5250	18890	23922
49.676	1.762807225	12.1667	4893	37426	40057
48.792	NA	18	5310	15984	16286
48.72	NA	14	4921	28426	24848
50.084	NA	10	4670	48430	53003
48.704	NA	13	5111	33904	35589
48.952	1.764507215	11.6667	9888	42863	27580
48.692	1.696221289	14.3333	9491	21339	17935
48.884	NA	11.5	4975	44583	43083
48.524	NA	14.1667	5256	44465	42940
48.868	NA	11.1667	5005	39840	42833
49.992	NA	9.16667	4793	33417	43648
47.776	NA	14.5	5462	32809	37855
48.936	NA	8.5	5431	38293	38186
48.648	NA	21.8333	6271	18244	13659
48.972	NA	11.8333	5343	39444	54738
47.608	NA	19	5580	22370	33388
47.988	NA	13.8333	5199	43464	36598
49.392	1.811965812	12.6667	4902	49005	49851
48.676	NA	20.8333	5015	39752	35734
49.148	NA	28.5	5082	23091	31925
49.94	1.894608074	16.1667	4615	33758	36251
48.368	NA	23.5	4645	23904	22090
47.668	NA	16.3333	4852	27079	21562
48.976	1.927833954	11.8333	4915	43587	50935
48.948	1.700396344	14.5	5015	26777	32162
48.952	NA	39	4842	49350	58840
48.136	2.777900961	6.83333	4959	21758	28130
49.356	1.764262767	7.33333	5114	42553	43867
48.62	2.014421426	10.1667	5224	34253	36065
49.26	1.567714056	11.8333	4923	32846	27548
47.808	NA	13.6667	5427	32279	44725
49.336	NA	7	5353	51018	39307
51.4	3.609605326	6.5	4809	27558	40568
49.792	NA	9.16667	4626	6819	9102
48.048	3.18267148	5.66667	5191	27911	25143
48.924	NA	16.5	4831	23504	29102
48.776	NA	12.3333	9281	28040	27674
48.516	NA	7.66667	5069	12241	12127
48.796	2.921243665	15.6667	4986	35361	29903
48.312	NA	10	8804	6670	8764
49.264	NA	10.5	8940	13317	18930
49.768	1.754635134	8.66667	5289	53309	52374
50.04	1.682696177	13.6667	4842	54477	55509
49.9	NA	16.5	4628	30044	41681
48.72	NA	17.3333	5467	38418	41078
48.508	NA	14.1667	5321	48551	46685
49.8	NA	10.6667	4542	44303	39295
49.368	NA	14.1667	5035	50249	49435
49.736	4.017445962	9	5722	71646	81745
49.2	NA	10.1667	4923	23238	23547
48.88	NA	9	5059	28819	40940
49.2	NA	6.66667	5135	48476	50221
48.42	NA	12.8333	5066	21033	17024
47.884	NA	15.5	5505	20470	24864
48.944	NA	15.8333	4936	21785	18112
48.66	1.926425099	13	4689	31484	28456
49.404	2.55105938	22	4880	64563	53689
49.668	NA	9.83333	5231	40640	34586
49.84	2.005834406	14.3333	4667	41863	46851
48.216	NA	13.6667	5149	31503	35124
48.704	NA	16	4981	31107	36862
48.608	1.552075592	10	8735	39882	44451
48.5	NA	6.33333	5322	34599	34729
49.196	2.113932208	6.83333	5222	31832	46960
48.856	2.397999605	8.66667	4889	32277	32683
50.028	NA	7.5	4690	35334	39683
49.132	NA	10.3333	5168	45450	40631
49.424	NA	12.6667	4977	23416	23531
49.008	NA	12.1667	5623	42851	27308
48.516	1.573727422	12.1667	5366	26548	19569
48.728	NA	23.6667	7009	27885	25647
49.372	2.489295715	19.8333	4959	47972	45517
48.64	2.092990701	13.8333	5134	45093	58521
48.944	NA	12.5	5319	30359	29631
49.312	NA	9.83333	5425	38739	53627
50.824	3.448519912	12.6667	4818	43506	45207
49.38	NA	21.5	4834	30973	34532
48.816	NA	11.5	5177	22719	19538
49.704	NA	14.3333	4765	36592	42694
47.696	NA	21	6205	37929	32973
47.764	2.297876375	10.8333	14638	35367	43532
48.604	NA	22	9693	26250	25202
48.568	NA	25.8333	5533	16649	20625
48.332	NA	27.1667	14657	23267	23961
47.88	NA	64	32696	15727	15250
48.028	NA	32.6667	30325	11366	11697
48.54	NA	22.1667	5671	35295	38239
49.404	3.058898037	10.5	7278	26927	24401
48.276	NA	20.6667	10439	22838	17775
47.104	NA	45.8333	25785	13775	25431
48.192	NA	59.1667	21339	21693	19215
49.124	NA	21	5407	30904	40096
49.716	2.246136634	15.8333	6215	32562	59709
48.164	NA	54.3333	31753	12266	15859
48.032	NA	50	37422	7404	8504
46.496	NA	71.6667	43985	5938	8188
47.128	NA	52.8333	41465	5669	7589
46.544	NA	56.8333	42984	6671	8000
46.484	10.00853485	48.3333	32852	6320	8144
49.216	NA	38	5987	38673	52329
49.068	NA	37	5332	24147	23442
48.844	NA	12.1667	5244	47244	39476
48.06	1.602669564	24.1667	4787	22683	26441
47.88	2.413394216	58.5	4812	21548	18411
48.34	1.784912492	23.5	5321	23223	23895
49.764	NA	6.66667	4585	43717	46020
49.316	NA	15	5285	24298	28184
49.324	NA	23.5	5184	23497	43043
48.34	2.491853911	11.5	5137	37124	41359
49.024	NA	11.6667	5034	20171	30927
48.28	2.482598608	12.5	14117	22925	30177
47.28	NA	12	24245	18952	19851
47.896	2.441967013	3.66667	20689	34863	32039
49.296	5.136433994	8.5	4945	39197	36964
48.868	1.707997853	9	4844	18832	23648
49.116	NA	5.66667	4964	30162	38596
48.88	NA	4.33333	4910	21964	28554
48.948	2.446467218	3.66667	5243	34207	48327
48.112	2.80185339	4.33333	5518	57653	53488
49.216	3.136147493	3.66667	4985	17322	15357
49.36	3.107249719	8.83333	4936	49050	55070
47.828	NA	4.66667	5313	47285	46025
50.868	1.936504916	4	4476	42687	63134
48.992	3.132302796	8.33333	5116	48229	43240
49.008	NA	4.66667	5005	46372	54339
49.108	NA	6.83333	4972	25873	17242
50.172	NA	8.33333	4994	39390	44843
48.552	2.010847185	8.83333	5023	24899	21093
48.096	NA	21.5	4960	28365	23994
49.28	NA	6.33333	4685	24472	32458
48.752	1.784861639	7.83333	4880	40500	36652
49.288	NA	5.16667	5043	54433	47564
49.476	NA	2.5	5164	48697	33523
48.112	NA	3.83333	5195	25090	20453
48.336	NA	1.66667	4901	27381	25888
48.3	NA	6.66667	5292	31868	27497
48.576	NA	4.16667	5185	18143	12912
50.156	1.92435565	2.83333	4658	37690	43710
49.08	1.927357513	6.16667	5453	38536	40899
49.18	NA	3.16667	5061	31772	50845
48.648	1.658174098	2	4847	39130	49807
49.024	2.68617466	3.16667	5292	37919	29452
49.476	NA	5.33333	5012	36357	36319
48.776	NA	5.83333	5075	40066	30849
48.26	NA	6.66667	5102	39227	50354
48.396	NA	11.6667	5217	30483	43862
49.304	NA	11.5	5265	45105	52370
48.3	NA	16	4574	17290	14981
49.144	NA	11.6667	4891	20746	19591
49.46	2.701806589	6.66667	4493	27272	39061
49.176	NA	9.83333	5094	53060	60742
49.344	2.531510562	5.5	5323	57623	59485
49.504	1.510622612	5.66667	5268	59027	53652
49.86	5.640536723	6.5	4731	29420	38047
48.672	2.06071076	12.3333	5423	41906	37261
49.064	NA	22	5037	29332	20715
49.356	1.877150276	21.8333	5161	35389	36871
49.52	2.022795217	20	4838	41421	39737
49.212	NA	12.5	4858	20471	23415
49.052	NA	5.33333	5124	30945	23171
48.536	NA	8.66667	4893	37759	28126
50.144	NA	8	4595	51263	48667
49.828	NA	5.5	4720	25253	22138
48.648	NA	7.66667	5107	44454	35660
48.9	NA	9.66667	5382	32890	33305
49.384	NA	15	5411	49069	45982
48.424	NA	11	9679	32471	31955
49.228	1.802418668	5.33333	5045	57764	68936
48.348	2.228637902	12.5	5325	17136	17605
48.072	4.448077773	9.5	5206	48709	42851
48.384	NA	7	5348	35266	32025
48.116	NA	6.5	4888	39657	33317
11.424	NA	143.167	3207	1803	1238
13.884	NA	112.5	3928	2361	1710
40.62	NA	13.5	4806	26261	26182
49.452	2.02146107	4.66667	4951	50037	42276
49.276	2.61192042	5.5	5218	41141	51882
48.588	NA	6.33333	5480	55107	55959
49.448	1.868427184	6	4753	33970	34181
47.992	NA	7.66667	5518	20334	14435
49.316	NA	4.66667	5063	21896	16285
49.552	NA	4.5	5069	34159	25228
48.288	NA	9	19486	33011	51582
48.696	NA	5	5747	42695	43071
49.688	NA	4	5142	50893	52944
48.66	NA	6.66667	5237	22204	24930
48.692	NA	4.16667	5008	31496	39896
49.264	NA	8.16667	5536	35518	48846
48.792	2.107926294	7	4839	21986	22693
49.772	4.239680913	6.33333	4954	46316	41986
48.02	1.576907908	11	5318	33225	37611
49.712	NA	5.83333	4744	31967	36283
49.024	3.433180311	6.66667	5123	38187	31310
48.992	NA	6	5504	35524	34585
49.804	NA	5.66667	5062	57924	55730
48.496	NA	9.33333	5359	29789	34432
48.508	2.360618895	5.83333	5437	58832	42696
48.552	NA	5.66667	5471	26350	27443
47.636	NA	4.5	5895	21544	26675
49.252	NA	4.33333	5110	39063	33423
50.344	NA	3.33333	5068	47348	51724
48.3	NA	14	5140	10554	13154
48.228	NA	19.5	5110	21391	20754
47.792	NA	16.5	5206	37675	37393
49.316	5.97692953	7.83333	5283	25721	29160
48.868	NA	14.3333	12914	32757	28048
47.668	NA	21.3333	23526	22818	27114
49.236	NA	19.8333	6533	39654	38931
48.332	NA	21.3333	24982	10914	16281
49.76	NA	53.6667	19148	4681	6624
51.468	4.514285714	32.6667	11068	4176	6226
48.076	2.358239509	52.6667	37302	4895	6835
46.384	NA	96.5	40043	5948	6752
46.932	5.144089733	50	39034	7025	7213
46.24	NA	47.1667	40030	10864	11666
50.356	NA	52.1667	25381	5714	7023
47.716	8.696969697	78	36413	4827	6519
46.852	2.294487793	59.6667	40136	6364	6653
47.452	5.912778905	191.667	39690	11246	10189
47.828	NA	163.333	36593	9482	14390
47.584	NA	125.333	38679	12317	9782
47.492	NA	120.833	40764	5220	6619
47.916	NA	149.833	34993	5267	6908
47.38	31.87254902	85.6667	40606	5560	6895
47.072	NA	81.1667	37923	5563	8051
46.968	NA	72.8333	35669	5282	6792
47.384	NA	157.667	39045	6550	7222
47.76	4.244991941	96.1667	39922	5004	7195
48.176	NA	140	35032	9986	15294
45.96	NA	295.167	43300	5711	7339
47.324	NA	303.5	41303	5272	7303
46.54	7.375866852	395.833	43628	5498	7068
47.776	3.280089989	241.667	40231	4858	6710
47.624	NA	196.5	35263	8558	9990
48.252	NA	158	35738	5067	6742
46.696	NA	157.667	41876	5361	7113
47.804	NA	235.5	41303	5093	7331
46.8	NA	449.667	42782	5387	7559
31.74	1.623318386	290.833	28928	4549	4975
44.328	NA	206	43750	5296	6850
46.748	NA	327.833	36902	11657	10180
47.252	4.105691057	290.333	43189	5072	7533
47.888	NA	206.833	42171	5955	7340
48.316	NA	210	38856	4917	7479
47.864	NA	334.833	32122	12997	28351
47.656	1.880761523	308.167	36071	6211	7479
48.448	28.14872192	63.3333	37131	6733	9112
48.66	4.305020763	128.167	34572	5141	6882
47.348	NA	84.1667	37990	5483	7069
48.2	NA	109.333	41075	5250	7418
47.156	NA	165.833	40685	5417	7095
47.216	9.783018868	211.833	39578	5028	6833
46.652	3.025341131	265.833	43258	7634	7359
46.412	55.11144578	123.167	44561	5366	7091
46.648	NA	411	41252	5494	7103
47.416	NA	283.833	41778	5322	7139
48.12	10.19211823	227.5	38652	5497	7039
46.916	NA	318.833	43146	7758	7858
46.804	1.565725414	294.667	42096	5698	6724
49.536	3.990759076	399.167	37534	5179	6686
45.748	14.74871795	511.667	45366	5213	6977
47.168	6.232938292	488.667	41962	10560	15625
45.4	40.5494186	200.833	47644	5936	7276
46.92	NA	263.167	44748	6544	7966
47.488	NA	129.667	41510	11158	11147
47.184	5.749103943	217.167	44705	5671	7767
45.72	35.96899225	269.333	47583	5092	6521
46.18	7.042016807	130.333	44737	5417	7146
42.752	NA	192.5	42838	4935	6504
25.38585836	2896	154.5	20176	3226	3312
34.964	1.58847981	33.8333	34095	8055	10973
42.976	NA	115.167	42041	5305	6513
44.892	5.24822695	101.333	46945	9190	7934
47.736	26.74534161	119.167	43772	4724	6624
48.804	31.79176755	97.8333	35139	7611	9927
45	10.6744186	219	49573	6312	8099
48.072	NA	196.333	33116	17482	35760
46.464	NA	210.833	46742	11220	15887
45.2	NA	312.5	54912	5849	8852
49.956	NA	80.1667	5937	23771	56614
48.94	NA	164.5	5542	19856	27314
49.552	NA	154.667	5141	22717	17376
48.232	2.78248974	90.3333	5260	16598	19081
49.908	NA	67	4883	49157	62416
48.704	NA	89.6667	5074	28064	34350
48.204	NA	55.3333	4966	7738	12085
47.924	NA	146	4888	13372	15313
49.128	NA	62.6667	4581	14254	12448
48.328	NA	52.8333	7375	16576	18945
51.348	1.864156111	41.8333	5048	41969	54058
50.004	3.420236563	46.6667	5138	45292	58319
48.908	NA	24.5	5226	21160	15129
48.052	NA	32.6667	22527	16749	21310
48.136	NA	36.6667	27775	15131	16429
48.692	NA	21.5	5102	15323	14864
49.236	1.653374233	24.1667	4827	35856	41648
50.02	NA	11.3333	5294	29342	25241
49.656	NA	8.66667	4668	41970	52608
49.384	NA	10.1667	4865	39576	57189
48.616	1.959524574	17.5	5403	17900	22336
49.08	6.114934006	11.8333	5248	35493	36450
49.848	NA	8.66667	4934	35950	42740
48.952	3.173053748	8	5186	29205	35654
49.564	NA	7	5251	44929	52858
48.76	NA	10.1667	4743	48468	33873
48.992	NA	14.5	5212	23646	20359
50.74	2.149312708	13.1667	4704	38393	38160
49.156	NA	7	5663	44024	42266
48.64	NA	9.83333	4805	24602	35436
48.94	NA	21	4941	34079	46853
47.744	NA	38	5260	20504	15847
48.488	NA	14.8333	5390	32731	36247
48.324	NA	18.8333	5357	45352	41533
47.84	1.897091723	13.3333	5331	12319	11217
49.384	4.062511325	7.16667	4923	44544	42098
48.476	NA	11.1667	4979	21973	23397
49.32	1.51752544	13.6667	5286	49617	45221
48.128	NA	20.8333	5369	27655	21038
48.408	2.773314541	22.8333	5139	23449	21950
48.764	2.135443038	15.6667	5012	30849	34212
49.188	NA	12.6667	4793	36683	44993
49.668	2.004583652	12.3333	5134	43209	54935
48.796	NA	18.5	5115	31704	41150
47.956	1.716703297	11	5267	24226	18934
49.744	NA	8.66667	4721	48357	43774
48.696	NA	10.5	4964	24309	21180
49.072	NA	13.1667	5572	52460	68517
49.592	1.661266139	25.5	5276	51935	57189
49.152	2.048550423	24.1667	5437	60537	51275
49.376	NA	18	4902	36900	44534
49.788	NA	17	5089	35924	42650
48.516	NA	16.1667	5070	51626	53217
48.984	NA	26	5319	29940	47421
49.028	NA	31	4762	25300	19938
48.228	2.284489329	50.6667	6751	39666	47351
48.608	NA	19.8333	5126	39412	31566
49.352	NA	15.3333	5001	36291	52265
48.964	NA	22.5	5581	38495	46788
48.42	5.181915903	35.5	5269	40211	43368
49.288	3.002985788	20.3333	4991	54331	70233
49.08	NA	11.8333	5310	53012	56949
49.62	NA	13.6667	4821	42606	42478
49.48	1.952041221	13.8333	4843	45149	41830
50.968	NA	16.6667	4525	37095	50679
48.98	1.544926484	24.6667	5079	44129	36978
49.116	NA	13.1667	5225	32386	46559
48.9	NA	17.5	5068	32503	43253
47.972	2.781316348	20	5242	21641	18477
48.316	NA	19.1667	5081	18052	26530
49.012	NA	14.6667	5102	29259	35573
50.388	NA	16.8333	5030	38629	46383
49.172	NA	17.8333	5039	39092	38694
49.164	2.483444907	14	4793	32738	28077
49.28	NA	17.1667	5052	39222	31911
48.672	NA	15	8458	31328	30512
48.844	4.079600387	17	5124	38108	44926
49.728	NA	15.5	5044	15409	17915
48.988	NA	16.6667	4855	37853	30321
48.744	NA	19.8333	5436	31327	25666
48.112	NA	55.6667	5582	48495	35684
50.188	2.000537259	38.1667	4876	28478	23513
48.644	NA	16.1667	5121	34633	23145
48.356	1.73932424	19	5421	34040	29165
49.124	NA	23.5	5151	38350	37569
50.08	NA	16	4577	44368	38464
49.348	NA	18.3333	4897	36893	39507
48.984	NA	28.1667	5038	19854	24168
48.876	NA	19.6667	5149	37972	56271
49.312	NA	19.3333	5043	47750	37980
48.948	1.525717827	25	5054	43114	37036
49.22	2.445716581	21.8333	4804	33927	35133
48.12	3.905127228	24.3333	5258	23789	17658
49.92	1.929847353	14	4800	16800	16802
48.044	NA	36	5042	18930	15077
48.948	1.547908473	18.3333	5071	49134	61860
48.448	1.598290598	15.8333	5509	34232	30232
48.404	4.365561461	18.5	5261	36654	49665
49.056	NA	18.1667	5055	23758	29218
49.428	NA	9.33333	4919	36574	32256
48.192	NA	73.3333	5847	40701	33465
48.912	NA	78.3333	4827	34968	32874
47.796	NA	28.6667	5354	28913	34084
48.836	2.579150579	49	4685	28780	35437
48.888	NA	19.6667	5361	43931	62831
50.316	1.637406512	15.8333	4817	29540	44804
49.372	2.176396553	39	4786	54237	41374
48.74	NA	22.3333	5132	38524	27786
49.928	NA	16.6667	4488	19606	19207
49.216	NA	16.3333	4959	19469	22974
48.768	NA	27	5113	28440	28093
48.812	1.52195122	29	5122	46911	58520
49.552	4.638195547	15.1667	5224	52421	52914
47.808	2.030636109	18.3333	6396	34156	36246
49.468	NA	20	4978	50817	59809
49.252	NA	12.1667	5297	43190	36491
49.116	NA	10.8333	4795	51936	41490
48.8	NA	16.8333	5628	40472	53979
49.092	2.311010798	10	5185	31869	33098
49.4	NA	17.6667	5089	30554	24771
47.948	NA	40.8333	5298	30124	35667
46.48	NA	56	5244	13380	13089
47.836	NA	24.5	5689	38419	42438
49.144	NA	24	5385	32133	28892
48.544	4.818944425	18.3333	4921	26861	21072
48.16	2.024783348	24.3333	5143	39929	35348
46.948	4.60478933	19.6667	7088	34846	23893
48.664	4.216714583	21.6667	5316	38520	37088
48.276	NA	17.3333	5382	52004	46338
47.92	NA	8.33333	5174	48209	39437
48.7	NA	12.1667	5248	40613	28826
49.988	NA	7.83333	4919	35757	46653
49.42	1.681758596	7.66667	5165	55295	58927
48.864	NA	10.6667	5033	33931	27129
48.8	NA	18	4879	33097	35940
49.288	2.020862834	4.16667	5056	41341	58662
49.24	4.050195465	12.5	5645	44070	49510
48.104	NA	13.8333	5595	23945	25895
48.568	NA	12.8333	5155	23796	16583
48.86	NA	18.8333	10184	18033	23615
48.484	1.650323544	17.3333	5213	13514	14777
50	NA	18.8333	5329	32179	40950
47.812	NA	56.6667	19860	24312	36740
49.268	1.641817909	36.3333	11248	37192	47585
49.584	3.453748006	57.6667	4983	9838	19080
48.072	NA	128	27333	20109	13170
47.712	NA	123	37044	5990	7695
46.608	1.598692625	128.833	41591	5779	7420
47.348	NA	125.333	38978	4965	7220
48.156	6.72801951	110.167	39157	5390	7318
46.864	NA	152.5	42422	6709	7359
48.084	NA	114.833	40641	5902	7330
48.044	4.508130081	104.833	35035	12285	23403
47.484	NA	171.833	39560	6395	7938
46.996	58.75594714	185.5	38809	5836	7177
46.892	NA	203.667	43205	5442	7184
