GC content	Induction>1.5	Variants	M.H3K27me3	M.H3K4me2	M.H3K4me3
49.388	2.379576279	25	4713	48148	41222
49.456	NA	14.3333	4774	37929	38451
49.416	2.739984111	22.3333	4640	23437	24303
48.82	2.692233181	25.1667	10496	43523	37450
48.956	NA	19	5581	30075	43991
49.62	NA	19	4757	34609	52169
49.404	NA	19.8333	5305	50176	49088
49.068	NA	32.6667	5014	23490	26617
49.148	NA	22.1667	5274	43059	58292
49.164	1.810934812	20.3333	4961	32248	41238
49.752	NA	15.3333	5663	50679	58694
49.144	NA	13.3333	4795	31389	34333
48.3	1.726263872	15.8333	5376	40762	35969
48.48	1.974506625	8.16667	5433	48996	54639
49.616	1.628436019	12	4908	41236	59729
49.368	2.120947933	8.33333	5012	50459	54481
49.284	NA	15.5	5061	43104	45708
48.784	NA	16.3333	5719	23211	30700
48.884	3.273081694	9.16667	5193	35159	37123
48.192	1.994314144	6	5068	36902	31785
48.096	1.516262915	8.16667	5457	36685	47862
49.448	NA	6	4836	45923	41698
49.356	NA	14.3333	4918	56979	48708
50.02	NA	11.5	5336	30028	33659
49.344	NA	12	4969	32749	41064
50.392	NA	7.66667	4529	14815	14956
50.24	2.326439578	9.66667	4746	40259	55098
49.94	NA	12	4839	46803	69106
48.88	3.128954177	4.5	5076	45121	40110
51.66	NA	9.16667	4201	33872	39435
48.68	1.765763733	9.83333	5424	45798	44491
48.876	NA	8	5539	28963	32886
48.504	NA	5.83333	5262	36764	43062
48.684	NA	7.66667	5357	48790	49374
49.524	NA	11	16048	28579	35543
47.972	1.804031275	7.66667	7970	45819	39476
48.748	1.659222121	10.6667	5342	54474	51536
48.968	1.568662063	6.83333	5099	33910	19390
50.068	NA	7.33333	4843	48658	45056
48.976	1.733003808	11	5234	32190	38717
48.78	NA	11.3333	5390	15934	16111
49.268	NA	14.8333	4700	28589	28891
50.104	2.334938167	22.5	4944	48572	43205
48.692	NA	19.1667	5323	30380	41335
49.02	NA	28.1667	5449	40067	30299
48.472	NA	9.5	5004	31917	22341
49.824	2.052874163	10.3333	4730	34256	34012
48.892	NA	12.6667	5587	22478	25935
48.276	1.520323151	10.1667	5370	21320	23028
49.116	1.583887156	9.33333	4716	28415	21365
48.724	NA	10.6667	4868	36997	34802
49.616	3.608449667	13.5	5056	43562	53522
47.752	7.433918897	35.8333	9237	18426	20143
48	NA	14.1667	4973	22930	21379
48.872	NA	14	5061	42300	39154
49.076	2.181281236	15.1667	8479	39855	50911
49.988	NA	12.3333	5077	41328	38768
49.636	NA	13.5	5094	25767	42430
49.612	NA	20.5	4843	12778	13370
48.74	1.826152005	13.8333	5039	26270	32689
49.408	NA	21.6667	5401	24351	28466
47.756	NA	17	4779	9954	10763
47.816	NA	21.1667	5305	11985	12493
47.884	NA	18.5	10204	18234	20854
47.936	2.959157895	32	12393	19133	20035
49.236	NA	26.6667	5048	28165	27592
49.172	NA	34.1667	4873	31783	40331
48.076	NA	61.1667	5481	41679	39917
47.8	1.829507413	18.8333	4927	21995	29107
49.688	1.52	25.8333	4818	36320	40957
50.216	NA	19.6667	4752	24866	48487
49.748	NA	51.6667	4752	29901	34551
49.216	NA	59.1667	4816	34394	36790
48.532	NA	77	5009	31840	34213
47.216	NA	195.333	5519	14549	14197
49.54	NA	129.833	4580	4722	7327
48.604	NA	63.6667	4775	21477	17454
50.6	NA	76.6667	4583	31339	31922
48.796	NA	105.5	5224	14980	14463
47.756	3.716341213	153.5	9799	6306	6955
46.884	NA	151.333	34205	5560	7449
48.132	NA	257.5	25337	6889	7417
46.884	NA	300.667	41005	5349	7102
47.064	1.707168277	164.833	37823	10519	12577
49.412	30.07624234	183	37199	4432	7093
47.864	NA	141.5	36521	5472	7587
46.3	NA	138.667	40053	5147	6746
47.884	NA	137.5	37632	5001	6726
46.616	NA	212	38853	6185	7023
47.784	9.367219917	114.667	39243	5392	7566
46.3	3.152066743	99.5	40677	7231	7954
46.452	8.177057357	105.333	43173	5770	7644
48.44	NA	71.5	13739	19344	19281
49.524	NA	71.6667	6501	31840	47493
49.624	NA	33.6667	5187	27844	34353
50.024	NA	26.6667	4978	36114	47890
48.892	2.094842916	43.8333	5383	27180	24554
48.496	NA	50.6667	4835	25993	30642
48.804	2.067988283	45.1667	5212	42783	45963
48.704	NA	32.6667	5415	23523	28635
49.536	NA	15.6667	4995	42684	31790
49.312	NA	14.6667	5246	67252	68429
49.848	NA	30.5	4718	49929	59790
49.516	NA	28.5	4908	33411	33236
49.796	1.685401381	30.1667	4858	37307	37422
49.668	NA	24.8333	4927	49582	37256
49.164	NA	29.8333	5243	48402	54771
49.344	1.749876071	33	5140	45966	55650
48.896	NA	34.5	5061	33963	35270
49.012	2.372155078	15.5	5099	25753	30045
48.792	2.977909674	15	5652	60052	58655
49.88	NA	6.33333	5527	35647	54801
49.956	NA	6.16667	6580	42098	42837
47.884	NA	41.5	26990	19550	23536
47.052	NA	20	39653	6207	7843
47.364	NA	25.6667	41582	6278	8517
48.952	NA	38.8333	6204	23015	38779
48.22	NA	59.6667	5470	38997	41140
48.188	NA	79.3333	5095	17509	15697
49.572	NA	46	5402	33011	45862
47.228	NA	21.6667	21861	33183	35385
