Variants	Induction>1.5	M.RNAseq	M.H3K4me2	M.H3K4me3	M.H3K27me3	M.H3K36me3	GC content
17.1667	NA	14470	23247	40737	5124	30289	48.388
14.3333	NA	10277	37133	32470	4776	33007	48.848
13	NA	36271	44999	36279	6653	37651	49.5
11.5	NA	12309	57128	49526	5267	35213	48.64
10.6667	NA	19674	22851	25853	5141	31375	47.844
24.8333	4.366083056	20733	19287	20475	5167	34704	47.768
14	2.030371793	11458	33280	35458	5414	32074	48.128
17.8333	NA	11149	30322	33617	5773	33758	47.684
26.6667	NA	5168	30911	28581	5284	17230	47.524
70.1667	NA	35147	37073	42103	5086	31978	48.092
22.5	3.168170632	4876	39431	37247	4516	36036	49.736
31.1667	NA	12944	22369	31238	5144	40097	48.196
30	NA	6972	27163	27960	4849	29110	48.044
36.3333	1.62740091	45035	9391	10236	4904	33224	48.144
31.1667	NA	50768	12686	19569	4454	26925	48.44
23	NA	19845	44471	34600	4989	27554	49.364
14.3333	1.594769131	6194	29216	30485	4744	33845	49.204
14.5	3.348418256	41410	53098	66042	4843	38424	49.932
12.3333	NA	47959	39709	41443	5198	33717	48.336
18.3333	NA	13844	56373	40543	5132	33429	49.14
21.8333	NA	5179	29146	33156	4812	35555	48.628
14.1667	NA	3526	19398	17286	5274	24656	48.688
39.8333	NA	16133	19186	16631	3843	45187	51.96
16.8333	NA	16729	51582	48644	4728	38947	49.684
16.8333	NA	139904	36821	32758	5303	29413	47.916
26.8333	NA	37847	28081	34844	4749	30039	49.364
66	2.318238722	46330	34536	48697	5168	41383	47.92
26.8333	3.226806582	4193	25099	27563	5407	28184	46.708
35.8333	NA	6564	26323	26715	5006	31493	48.044
29.6667	2.098347394	34612	57745	59379	4950	34011	49.112
11.8333	1.611737921	19765	41827	51163	4769	36705	49.416
15.6667	NA	25553	50193	50576	5005	38240	49.108
25	2.379576279	11281	48148	41222	4713	38842	49.388
14.3333	NA	22414	37929	38451	4774	31437	49.456
22.3333	2.739984111	17622	23437	24303	4640	32645	49.416
25.1667	2.692233181	22712	43523	37450	10496	34648	48.82
19	NA	26343	30075	43991	5581	33519	48.956
19	NA	13186	34609	52169	4757	33269	49.62
19.8333	NA	15305	50176	49088	5305	25873	49.404
32.6667	NA	19267	23490	26617	5014	23542	49.068
22.1667	NA	47490	43059	58292	5274	38107	49.148
20.3333	1.810934812	10462	32248	41238	4961	37073	49.164
15.3333	NA	41904	50679	58694	5663	33680	49.752
13.3333	NA	10064	31389	34333	4795	38578	49.144
15.8333	1.726263872	16220	40762	35969	5376	37433	48.3
8.16667	1.974506625	17887	48996	54639	5433	29334	48.48
12	1.628436019	9495	41236	59729	4908	36732	49.616
8.33333	2.120947933	28905	50459	54481	5012	33768	49.368
15.5	NA	45672	43104	45708	5061	32287	49.284
16.3333	NA	25000	23211	30700	5719	24709	48.784
9.16667	3.273081694	11286	35159	37123	5193	40883	48.884
6	1.994314144	43617	36902	31785	5068	31146	48.192
8.16667	1.516262915	33973	36685	47862	5457	29493	48.096
6	NA	39328	45923	41698	4836	40146	49.448
14.3333	NA	14405	56979	48708	4918	39899	49.356
11.5	NA	96407	30028	33659	5336	25770	50.02
12	NA	31124	32749	41064	4969	30725	49.344
7.66667	NA	11390	14815	14956	4529	37271	50.392
9.66667	2.326439578	14796	40259	55098	4746	34488	50.24
12	NA	28039	46803	69106	4839	32725	49.94
4.5	3.128954177	11981	45121	40110	5076	37274	48.88
9.16667	NA	34736	33872	39435	4201	35413	51.66
9.83333	1.765763733	62057	45798	44491	5424	37337	48.68
8	NA	55104	28963	32886	5539	30734	48.876
5.83333	NA	26197	36764	43062	5262	33493	48.504
7.66667	NA	9215	48790	49374	5357	35557	48.684
11	NA	55360	28579	35543	16048	38589	49.524
7.66667	1.804031275	13941	45819	39476	7970	38050	47.972
10.6667	1.659222121	13164	54474	51536	5342	33802	48.748
6.83333	1.568662063	38522	33910	19390	5099	27323	48.968
7.33333	NA	21365	48658	45056	4843	34663	50.068
11	1.733003808	24682	32190	38717	5234	27705	48.976
11.3333	NA	111662	15934	16111	5390	29584	48.78
14.8333	NA	43654	28589	28891	4700	39490	49.268
22.5	2.334938167	10593	48572	43205	4944	35969	50.104
19.1667	NA	17666	30380	41335	5323	34870	48.692
28.1667	NA	21612	40067	30299	5449	27778	49.02
9.5	NA	16027	31917	22341	5004	30891	48.472
10.3333	2.052874163	11499	34256	34012	4730	33659	49.824
12.6667	NA	12550	22478	25935	5587	25336	48.892
10.1667	1.520323151	7922	21320	23028	5370	32541	48.276
9.33333	1.583887156	7373	28415	21365	4716	31172	49.116
10.6667	NA	20961	36997	34802	4868	30516	48.724
13.5	3.608449667	29871	43562	53522	5056	36103	49.616
35.8333	7.433918897	6091	18426	20143	9237	37356	47.752
14.1667	NA	16901	22930	21379	4973	34283	48
14	NA	23303	42300	39154	5061	41415	48.872
15.1667	2.181281236	8804	39855	50911	8479	37769	49.076
12.3333	NA	17478	41328	38768	5077	32622	49.988
13.5	NA	49003	25767	42430	5094	38326	49.636
20.5	NA	5399	12778	13370	4843	35227	49.612
13.8333	1.826152005	13368	26270	32689	5039	34695	48.74
21.6667	NA	11298	24351	28466	5401	30820	49.408
17	NA	10265	9954	10763	4779	41318	47.756
21.1667	NA	26441	11985	12493	5305	24484	47.816
18.5	NA	20848	18234	20854	10204	37430	47.884
32	2.959157895	2375	19133	20035	12393	39339	47.936
26.6667	NA	19732	28165	27592	5048	37696	49.236
34.1667	NA	11629	31783	40331	4873	35693	49.172
61.1667	NA	9705	41679	39917	5481	32742	48.076
18.8333	1.829507413	8364	21995	29107	4927	32565	47.8
25.8333	1.52	5275	36320	40957	4818	29780	49.688
19.6667	NA	24901	24866	48487	4752	34158	50.216
51.6667	NA	3955	29901	34551	4752	37744	49.748
59.1667	NA	14636	34394	36790	4816	41612	49.216
77	NA	9961	31840	34213	5009	36825	48.532
195.333	NA	88442	14549	14197	5519	33044	47.216
129.833	NA	5292	4722	7327	4580	40825	49.54
63.6667	NA	15067	21477	17454	4775	34894	48.604
76.6667	NA	85599	31339	31922	4583	34745	50.6
105.5	NA	35779	14980	14463	5224	39235	48.796
153.5	3.716341213	973	6306	6955	9799	35208	47.756
151.333	NA	1910	5560	7449	34205	39684	46.884
257.5	NA	13118	6889	7417	25337	36549	48.132
300.667	NA	19218	5349	7102	41005	43964	46.884
164.833	1.707168277	7868	10519	12577	37823	42353	47.064
183	30.07624234	1469	4432	7093	37199	42792	49.412
141.5	NA	19300	5472	7587	36521	41305	47.864
138.667	NA	747	5147	6746	40053	43785	46.3
137.5	NA	3725	5001	6726	37632	46766	47.884
212	NA	4757	6185	7023	38853	42029	46.616
114.667	9.367219917	1928	5392	7566	39243	48467	47.784
99.5	3.152066743	2637	7231	7954	40677	40965	46.3
105.333	8.177057357	1604	5770	7644	43173	44404	46.452
71.5	NA	60066	19344	19281	13739	23309	48.44
71.6667	NA	16608	31840	47493	6501	36291	49.524
33.6667	NA	14944	27844	34353	5187	30977	49.624
26.6667	NA	32039	36114	47890	4978	33331	50.024
43.8333	2.094842916	6748	27180	24554	5383	27795	48.892
50.6667	NA	9367	25993	30642	4835	38549	48.496
