Variants	Induction>1.5	M.RNAseq	M.H3K4me2	M.H3K4me3	M.H3K27me3	M.H3K36me3	GC content
118.333	NA	6256	5903	7939	42783	43771	46.34
214.167	3.224016145	1982	5080	7255	39741	45867	46.836
193	2.61951539	1527	5450	7378	39242	50187	47.052
87.5	NA	32501	22094	23434	15739	34412	48.368
62.6667	NA	7123	18883	27643	20275	42330	48.328
62.8333	NA	3567	17056	19849	23728	43178	47.78
61.8333	NA	23472	19807	26890	5937	30489	47.992
16.6667	NA	36420	14643	26167	4973	30967	48.88
15.1667	NA	48479	11106	9401	5134	35201	48.712
20.6667	NA	18422	36279	42919	4825	38590	49.416
45.5	1.514196118	11799	18811	14556	4946	37016	48.236
47.8333	6.483820576	8962	28371	45266	5127	34376	48.572
49.1667	1.773485514	12529	42312	49079	5124	39721	49.636
56.5	3.19311103	2729	7361	7793	5171	33452	48.872
21.3333	NA	553251	28306	18225	7632	32059	47.852
46.8333	4.575854285	12847	20394	19594	4988	38669	47.516
27.5	NA	9371	10503	8707	5343	33970	47.76
16.1667	1.971448631	4273	32556	25374	4893	31346	49.472
13.5	NA	7753	36192	26335	5360	37382	48.192
12.5	NA	23113	20431	24636	5122	28830	49.652
13.5	NA	180733	42282	43160	5450	41843	49.868
10	2.644752018	3468	6392	8319	5179	39190	47.124
7.33333	1.713402684	13266	28137	36017	4975	30897	49.096
14.8333	NA	43311	59485	67196	5543	37673	48.956
19.6667	NA	13566	13681	12655	4782	31750	49.488
17.1667	NA	68997	45091	49336	4583	39513	49.432
19.3333	NA	50273	52488	46000	5512	31132	48.336
18.8333	NA	44001	28522	29271	5258	27514	48.892
21.8333	NA	65721	26553	19365	9697	30488	49.44
17	NA	23079	13004	14481	6028	28863	48.412
16.3333	NA	6634	44859	40133	4654	37576	50.556
14.1667	3.053930055	23104	50306	53306	5313	40032	49.016
9	NA	9306	39651	44848	4937	41533	50.032
15.3333	NA	21688	48857	53445	4992	40665	49.632
22	NA	8045	22610	32136	5535	24503	47.128
17.3333	NA	20497	16929	17987	4715	34822	48.684
12.1667	NA	15069	39383	47081	4920	36388	49.532
12.8333	1.897757608	14984	35137	35684	5203	32733	48.788
13.5	NA	21477	30049	35221	5003	39981	49.104
11.1667	NA	20616	24312	24006	5213	27611	48.092
11.3333	NA	24961	37303	38507	4984	38190	49.38
14.3333	NA	30474	32333	42878	5395	31393	48.208
15.8333	3.721834937	29407	36523	49884	5212	30546	48.448
9.5	2.44100656	10213	30441	39770	4552	41392	49.24
15.6667	NA	12871	45646	51349	4895	36144	48.964
19.1667	NA	21491	17759	25696	4876	35727	48.844
18.5	NA	13096	28643	30992	5040	31585	49.02
13	NA	116535	35712	47413	4783	39606	49.672
15.8333	NA	139298	28852	33888	4868	37331	49.312
20	NA	12615	25136	27759	5028	37116	47.948
11.5	NA	17764	42287	49000	5176	25893	49.32
15.1667	NA	56715	24818	28902	5182	27148	47.584
9.66667	NA	9854	45215	52211	8038	32320	48.832
14	NA	33364	29103	39564	5135	30424	48.664
26.5	NA	9351	40704	32503	4868	33933	48.68
8.33333	3.037202918	27686	39874	44694	5027	35978	49.768
7.66667	1.50851111	49641	42126	55272	5528	33760	48.844
14	NA	35764	29993	50189	5664	26958	48.084
16.1667	5.43159052	16372	34694	41504	5382	34270	49.408
12	2.498000511	23506	15793	14195	5015	39492	48.984
16.1667	NA	44478	38730	44477	5362	26873	48.724
29.8333	NA	41456	14562	11719	5236	22011	47.464
11.6667	2.184895996	16009	26593	28821	7163	39546	48.828
13.1667	NA	10989	26564	23602	5177	31151	48.404
17.8333	2.216578223	35239	32297	33293	4854	37756	49.468
15.5	3.892461468	36917	59964	42087	5168	40244	49.016
23.5	NA	60423	51498	66318	5364	31769	49.172
19.6667	NA	17273	25976	30719	5063	24345	50.236
14.5	NA	216943	39176	38930	5328	36421	49.776
23.3333	NA	97918	25853	24206	5186	38585	49.496
35.3333	NA	11067	27923	23287	7199	34588	48.156
31	NA	78359	53929	59613	5295	31972	49.048
35.5	NA	32310	20539	31687	5335	24217	48.216
30	NA	42848	43727	44219	4998	31200	49.116
41	NA	23096	36852	50777	5243	35085	49.5
36.6667	NA	22432	22103	19976	5225	25518	49.068
16.1667	2.11476952	2126	6109	8288	5323	44635	48.3
29.1667	NA	10375	36811	32346	5077	32165	48.384
38.3333	4.234052749	112684	46511	42645	5122	29545	49.54
25	NA	17918	18844	18918	5240	21695	48.9
40.3333	NA	8998	11701	22903	28779	41628	47.644
70.5	4.434399118	1814	7099	8139	42383	48362	47.476
99.3333	NA	3983	5748	7482	42566	50260	45.8
114.167	NA	32794	24733	37858	10025	41372	49.028
95.3333	NA	39653	20483	25029	6690	30710	49.084
136.833	NA	8766	31693	32298	6961	36819	47.068
45.5	NA	14837	44794	51190	5137	42448	48.476
27.3333	NA	25909	37414	47650	5176	32991	49.588
19.1667	NA	22331	27416	32617	17111	37776	48.336
35.8333	NA	14587	22198	28143	9119	39712	48.868
15.6667	6.450015065	16595	43837	47160	5379	35565	48.896
27.6667	NA	10225	28786	35739	4754	31795	50.448
32.6667	1.906560971	5929	17871	24754	5357	35910	47.976
18.6667	NA	14413	29365	45664	6747	33435	48.216
17	2.297834733	11315	18011	19414	5465	27537	49.196
23.5	NA	11236	25120	27501	10399	28574	49.444
33	1.821326635	17518	58442	62738	5284	37790	49.744
25.8333	NA	19160	32001	47779	9632	38530	49.82
26.6667	2.805007942	10703	35097	29567	5083	28666	49.12
64.6667	NA	9992	16771	9495	4971	26250	39.924
345.667	NA	18	2589	1530	4111	807	13.336
225.833	NA	18	2747	2124	4573	1492	14.86
82.6667	1.52951348	12723	24354	21222	4644	22636	35.6
30.1667	2.054297432	22432	51937	52799	5350	39198	49.748
26	2.353452964	7356	20470	16933	5077	27294	49.652
25.3333	NA	14089	44013	47580	4962	34139	49
30.6667	NA	14063	27317	26729	4886	30130	50.192
39.3333	NA	268693	38474	57855	6570	30761	48.832
55	NA	32524	12935	17492	26903	37135	47.856
77.1667	NA	5604	7867	8340	42180	44786	46.4
77.3333	NA	50297	5551	7622	38897	45550	48.436
123.667	1.629322268	1446	7095	7537	35055	39028	47.22
84.8333	NA	13178	7915	9283	40742	45761	46.972
37	2.19757951	3553	18154	28840	23059	38258	49.284
24.5	NA	7809	5062	7341	35484	46669	47.496
54.1667	NA	3424	6029	8608	38821	42452	47.22
154	1.961601755	1823	5349	7282	38202	44112	48.296
83.3333	NA	112768	23015	22952	36389	45332	47.788
141.5	9.611089719	5194	7556	8433	39822	37677	46.412
101.333	NA	19373	6918	7627	37830	44796	49.364
116.833	NA	19544	6784	8067	46033	49498	46.396
159.333	2.377081569	3543	5238	7232	43126	45849	47.448
139.333	2.114674993	3523	11228	12639	33950	36128	48.108
145.5	NA	53544	12143	10018	41004	45231	47.772
114.5	2.728790816	13414	16065	23503	31124	40343	49.364
123.167	NA	175768	13094	10257	33939	36858	46.704
146.333	NA	5658	7375	8178	35598	39733	48.4
167.333	5.501466276	682	5297	7203	43789	46558	47.528
126.167	NA	42666	14798	16195	39920	41499	46.132
125	1.666076994	11871	10801	10842	44654	46655	46.624
159.5	NA	19897	14517	19654	39080	45129	48.072
181.167	1.581920904	885	5380	7332	43078	39326	46.144
127.333	NA	6752	5161	7299	43644	46363	47.392
192.833	NA	21546	7591	8409	42469	46927	47.3
263	NA	13626	4941	7372	36828	41210	47.772
268.333	NA	10772	9660	12005	34533	41440	49.436
177.333	NA	3360	6358	7876	40652	43814	46.624
178.333	NA	3093	5468	7541	39073	42249	47.536
245.667	2.019496344	2462	12812	21225	32510	37905	47.24
107	NA	6012	5544	7579	38128	37985	46.764
67	NA	30483	8065	8171	34743	39114	48.308
132	NA	25734	9309	15550	41325	41057	46.276
126.167	2.530571992	1014	4550	7108	39271	46080	48.264
42.1667	NA	4339	4874	7459	43097	47862	47.992
124.667	NA	6187	5042	7487	40260	41273	46.86
122	NA	3071	5261	7158	40756	43752	47.668
59.1667	3.436124851	5863	12040	19789	33386	37862	47.992
125.167	5.9669967	6060	7228	7783	38041	43523	48.148
179.167	1.603760323	11382	5386	7647	39999	42903	47.12
98.8333	2.322926522	3171	5116	7849	38947	44619	47.556
126	1.527352298	2742	15981	25302	30539	38833	48.488
90.3333	NA	14954	17190	25262	30479	38875	48.152
133.833	NA	4636	9312	8620	37486	39915	47.92
111.333	NA	7163	8786	22636	32609	39499	47.66
180.833	NA	20663	17367	19183	31379	42952	49.748
77.3333	9.78556701	4850	5603	7987	39084	44947	47.716
148.667	2.01367321	10239	7370	9141	40224	46024	48.248
178.167	NA	12296	7165	8277	35369	41044	47.76
123.667	NA	11202	14425	10795	36125	37769	46.976
141.833	NA	9372	21350	47146	32893	44388	47.924
101.667	1.728140376	16869	6442	7970	32867	35286	47.996
113	NA	13650	13553	27831	26624	36338	48.32
102	NA	1504	5596	7776	32057	40744	48.252
145.167	NA	11244	5972	7729	40911	42638	47.156
55.8333	NA	15387	12207	20132	23380	44309	50.036
106.833	3.42140362	3149	6498	8352	38755	42408	47.172
101.5	NA	2865	5928	7606	43205	46451	47.492
139.167	NA	3449	5243	7500	41524	43416	47.2
162.5	2.411644303	4397	8162	7592	36196	40653	47.732
61.5	NA	2292	5110	7384	41183	48650	47.4
92.6667	2.072299169	7220	11955	18147	34837	38365	47.98
57.3333	NA	81375	5148	7510	41143	43819	47.424
60.5	5.773584906	530	6291	13774	28739	39621	49.08
123.5	NA	21687	9867	22781	33974	44029	47.78
99.1667	NA	37067	14385	22075	33812	40669	48.096
75.5	NA	7146	10451	15491	38806	38681	47.756
91.1667	NA	214775	11219	17788	37565	40318	47.336
109.667	NA	16111	7590	9531	33995	41050	48.324
135.5	8.098325615	2807	5827	7395	42715	42638	46.656
123.5	NA	3954	9237	8286	36643	41907	47.92
122	NA	6198	4838	7136	39341	42793	47.992
52	NA	5529	7850	10348	38931	38165	46.24
80	1.68	1050	8991	14997	36959	43692	47.64
80	3.057403509	14250	5850	7662	36930	41286	48.196
142.667	1.639190018	4889	6778	7745	41973	44645	46.964
154.5	4.436811406	1543	4920	7197	41955	39232	46.732
44.3333	NA	30226	5336	7382	44045	49327	47.852
39.3333	NA	150995	6701	7882	44912	44328	47.396
50.8333	NA	24206	5564	7425	40220	40781	47.648
63.8333	NA	5460	8698	11364	34535	34016	47.284
78.1667	3.802809706	11745	4828	7113	37906	39457	47.732
96.3333	9.19453274	3146	6664	6969	36723	41444	47.264
119.333	NA	783	4769	6670	39550	46504	47.696
61.1667	NA	1160	4638	6857	40113	41647	47.604
60.6667	NA	7781	5957	6832	39092	40090	47.452
80.8333	6.653154496	10065	8795	7780	35782	37783	47.716
78.3333	4.442901235	1296	4731	7107	38846	39865	47.768
100.333	4.077790304	1774	4653	7394	34013	40274	48.22
120.667	NA	24834	10546	12558	40013	41164	47.58
95.6667	NA	10788	6162	7797	37364	44571	48.54
116.333	NA	7107	5476	7639	30414	34805	48.764
100.333	NA	15684	11864	10648	38562	45609	47.784
82.3333	10.42521368	936	14927	15432	37874	41764	47.816
84.5	4.261077844	835	5296	7776	39505	40759	47.236
90.5	NA	16893	6414	9549	38667	42314	47.724
61.5	NA	2991	10543	9749	30701	40652	48.64
98	NA	136173	4934	7206	38451	45002	47.912
136.167	NA	65147	12995	10063	15265	34700	50.444
79.1667	NA	15513	8087	7864	39995	43438	48.028
129.833	1.677308294	6390	6048	8236	42141	38037	46.992
117.333	2.295152722	6024	15851	35657	32438	39390	48.888
114.667	NA	23194	7412	8055	42556	43565	47.072
125	NA	21433	24419	36706	29042	34636	48.504
234.5	1.522280552	16382	10264	11763	35978	36877	47.44
185	NA	62065	5802	7628	38604	38648	46.796
128.333	NA	31547	9666	20398	34230	43045	48.608
137.333	8.790688652	5155	5327	7740	43666	45494	46.624
78	NA	15435	7367	9735	39809	44617	48.5
87.8333	NA	20066	6263	7872	36458	38733	47.732
254.667	2.437763713	1896	9899	16465	34081	39843	47.424
143.833	NA	10196	6380	7722	41490	44459	47.584
198.167	NA	29574	6032	7652	41876	47917	47.484
187.333	NA	12748	4663	6790	40895	47666	47.06
77.8333	NA	21091	5872	7469	40323	42839	46.708
69.6667	NA	10851	5369	6951	39026	43029	47.368
96	NA	31848	5094	7231	38274	44119	48.244
87.8333	NA	5515	6825	7776	31828	40416	47.812
178.833	1.65637776	19568	5340	7231	40871	41208	46.52
80.8333	NA	143866	9827	10258	39014	43258	47.352
84.3333	NA	1399	7949	8579	36595	41521	47.072
80.1667	1.658770394	10849	10386	15605	35697	40408	47.512
67.5	NA	15982	26033	31027	18143	40524	49.696
66.5	6.709623028	8303	6919	8383	37419	38313	46.492
41.3333	NA	69531	42884	45482	13057	34516	48.628
102.333	2.43855771	27595	32516	30153	11763	32923	48.668
91.5	NA	19597	5905	8154	40726	40578	47.076
48.8333	NA	5722	28075	19319	17019	36003	48.172
22.5	NA	36296	37329	36442	4888	30902	49.696
20.3333	NA	13310	43466	43836	4776	33698	49.312
36.5	NA	46717	29338	27159	5410	32960	49.472
26.8333	NA	3621	11949	9169	5535	34301	48.524
81.1667	NA	10768	15526	23089	22657	41370	47.796
40.5	2.439031239	14245	23373	44112	18644	34457	49.16
37	NA	5647	5965	8292	36869	44839	47.272
24.1667	NA	18824	23015	22556	16118	30610	48.124
24.8333	NA	86080	26688	25164	13892	30356	47.668
15.1667	NA	18505	46687	56161	5384	32633	49.036
19.3333	NA	22969	39129	52127	5599	29309	48.104
9.16667	NA	20675	52440	61958	5228	39239	49.836
19.1667	NA	24453	37302	35900	4960	27108	49.764
13.6667	NA	35179	36751	36874	5987	39376	48.436
14.3333	NA	11558	30223	29403	5264	21596	49.544
25.5	2.738947368	35150	27016	30310	5329	34277	48.696
14.6667	5.273155584	9339	30060	38081	5131	34498	47.828
14.5	NA	7373	20712	19675	5130	34565	48
10.5	2.914592659	5585	39139	50940	4702	41750	49.6
13.8333	2.076079427	17324	13947	13235	5393	30488	47.712
18.6667	NA	52636	14861	15650	5560	36455	49.224
4.16667	NA	7207	27017	30437	4712	38379	49.996
7	2.105168808	16735	20223	19340	5249	33277	48.416
3.66667	NA	15670	20644	15503	8051	29207	47.984
7.66667	NA	61086	36749	31510	7882	33934	47.948
14.1667	11.79698958	2591	9419	8806	5263	31890	47.06
4.33333	NA	22521	30198	25792	5157	31466	49.324
8.33333	NA	37739	18746	16386	8225	35602	48.164
15	3.155809524	2625	28856	16918	14735	37672	47.256
8.33333	1.585058215	12368	37038	40341	4785	39964	49.104
11.1667	1.738961039	6160	37569	40601	5253	33822	48.56
5.5	NA	27502	49553	38474	5219	42547	48.812
15.3333	NA	109609	33363	21129	5516	33935	49.26
11.5	NA	10177	36709	27080	5058	36668	48.684
12.5	NA	25688	24741	29174	5108	33090	49.072
6.33333	NA	27267	30382	46507	4931	38577	49.156
55.8333	2.590415335	54775	47377	45414	6422	41991	48.668
10.8333	NA	4520	37872	35842	15140	35686	48.076
10	NA	8660	24812	25922	10273	37456	48.936
18.5	NA	16611	14416	11406	12473	39732	47.976
17.3333	NA	11915	44257	52619	5000	37579	48.852
9.16667	NA	20159	31250	32006	5063	35906	48.948
9	NA	143056	35409	47288	14803	35192	48.256
14.8333	NA	27261	33105	45401	4895	33760	49.18
39.5	NA	9339	26992	25375	8528	34525	47.536
134.167	NA	15671	14044	23925	5125	37611	48.16
106	2.218376597	7281	36270	31609	4813	34184	49.476
19.8333	2.149385657	31904	43487	57576	5379	29136	48.232
22.1667	3.183801511	7013	50807	50085	5097	36134	48.78
12.3333	1.782879777	13633	37372	45840	5193	29012	49.328
11.8333	NA	16052	31540	45015	5000	36410	49.912
12.5	NA	14686	12042	19124	6104	27429	48.764
40.6667	NA	3104	8500	8045	34688	37954	46.38
43.1667	NA	3560	5736	7602	14261	44664	48.892
39	NA	4535	25732	20307	13427	32862	48.896
47.6667	NA	301482	23634	19269	5099	33486	49.704
56	NA	5603	7202	7856	5035	20996	47.796
109.167	2.943849121	2333	13117	16990	5457	37291	47.636
35.3333	2.202316763	28747	29792	47398	5016	32184	48.88
32.1667	NA	14682	32608	46185	5620	38303	50.224
249	NA	8256	13896	17436	34855	42606	47.26
182.167	NA	1397	6948	7489	40840	43673	46.82
184.833	5.495596007	3406	5414	7637	38276	45166	46.888
411.5	70.25411335	1094	10210	15561	34146	44521	48.16
409.5	NA	5864	5437	7340	41212	46635	46.152
243	NA	1423	5525	7293	38388	39177	45.776
269.167	NA	15627	8361	13951	36634	37926	47.08
213.833	NA	13978	24829	34775	25475	37184	47.608
199	NA	22495	14704	24060	15139	43625	48.164
156.833	NA	4351	11462	10311	15488	42408	49.944
128.167	3.799928851	14055	23800	47453	14126	37535	49.632
108.667	NA	7402	5269	7722	33988	46033	48.284
143.667	NA	1835	5114	6864	40841	38521	46.38
211.333	13.17840127	1889	5156	6956	39157	40752	47.012
377.833	NA	4358	5410	6922	44885	42933	45.364
298.333	6.648132059	1151	5250	6818	43254	45595	46.18
317.333	NA	10626	9294	7788	37384	40683	46.932
206.333	NA	106887	4908	6910	37950	40602	47.284
262.5	9.652542373	236	4777	6908	38561	42883	47.76
240.167	11.6364049	4406	5308	6881	40239	41821	46.968
253.333	3.12293578	545	4969	6978	41551	44064	46.316
154	NA	1296	4945	6358	42157	40494	41.924
80.8333	NA	2003	4919	6579	42527	43365	47.148
149.667	NA	1556	4192	5051	29750	23690	34.644
181.667	1.913347921	2285	8769	9149	43965	45394	46.772
167.5	NA	4539	4854	6544	42116	45721	47.992
132	2.912217195	1105	4618	6221	38293	38406	43.796
112.5	NA	2374	5342	6649	45464	42107	46.636
163.5	4.099337748	302	5913	6805	43761	38331	46.164
70.1667	NA	354	5473	6815	44967	41863	46.18
51	3.824120603	398	5051	6580	48025	43211	45.128
59.5	68	0	3884	4455	27911	21318	32.43195319
92	NA	1636	5039	6250	42333	35926	42.064
80.6667	4.508196721	366	4657	6467	42042	39671	44.48
117.5	89.89189189	111	4852	6426	42097	36774	45.328
225.833	NA	4847	5511	7041	46710	44234	45.64
143.5	NA	1425	4483	6431	38744	40003	43.72
15.6667	NA	6989	5932	7698	41207	42672	47.108
100.667	NA	6355	5998	8164	45232	40471	46.556
110.333	8.681081081	5550	5521	7075	43124	41115	46.144
271	NA	5385	7375	7893	42945	41273	46.584
198.5	NA	178368	6959	6973	42523	44282	46.472
57.6667	NA	28933	4717	6791	43659	48920	47.432
79.8333	NA	22436	6085	7127	42202	41221	46.396
158.667	NA	1526	4737	6977	43464	44458	46.664
94.1667	NA	5108	6234	7183	43749	47131	46.74
65.3333	2.388118812	1010	5067	6982	45005	47197	46.744
37.1667	NA	86487	13779	11595	30142	32765	47.992
108.167	NA	2779	5859	7207	45801	47226	46.616
103.833	NA	1371	4962	6714	41289	46135	47.344
95	4.028513238	491	5709	7121	43283	41284	46.012
225.167	NA	859	5645	7102	42110	41395	45.664
258.667	3.497572816	824	5424	6926	41401	44873	47.216
58.3333	NA	120954	18769	19035	31766	38022	48.44
28.3333	NA	39030	28128	26122	17925	36135	50.016
23.5	NA	3673	6400	7991	35630	50508	47.344
29.3333	NA	37708	34196	42627	5640	34185	48.824
29.6667	2.819306499	22956	20567	28747	5376	33459	49.808
53.3333	2.679767844	19642	33041	24633	6125	28140	46.712
25.5	NA	15814	13352	18107	33843	40280	47.596
8	NA	90874	45561	43536	5526	42284	49.952
21.5	NA	76630	11483	18041	26747	44659	48.024
24.5	NA	2377	5241	7516	36016	43464	47.9
19	NA	11576	26042	19636	31997	43432	48.22
18.8333	1.827362293	8932	28019	28936	5905	39639	48.204
14.3333	NA	18852	17051	17158	5275	37333	48.62
17	5.40784821	34785	32137	35976	5759	33398	48.58
20.6667	NA	11806	28319	35092	4750	35220	48.624
17.8333	3.295987286	2517	22670	21343	4799	36876	48.024
18.6667	NA	10378	38208	34577	4969	34133	48.44
16	NA	16853	24039	27053	5014	33538	48.7
18.3333	NA	15256	16454	16044	5198	36157	48.632
19	NA	11902	23657	27161	4943	36787	48.464
13.3333	NA	38098	18890	23922	5250	34186	48.756
12.1667	1.762807225	13508	37426	40057	4893	33994	49.676
18	NA	8259	15984	16286	5310	23874	48.792
14	NA	13933	28426	24848	4921	31711	48.72
10	NA	20309	48430	53003	4670	38195	50.084
13	NA	9004	33904	35589	5111	33468	48.704
11.6667	1.764507215	6514	42863	27580	9888	42175	48.952
14.3333	1.696221289	4049	21339	17935	9491	24973	48.692
11.5	NA	12746	44583	43083	4975	35133	48.884
14.1667	NA	24153	44465	42940	5256	37833	48.524
11.1667	NA	24467	39840	42833	5005	35845	48.868
9.16667	NA	9331	33417	43648	4793	44659	49.992
14.5	NA	94376	32809	37855	5462	28958	47.776
8.5	NA	49649	38293	38186	5431	37837	48.936
21.8333	NA	60252	18244	13659	6271	30476	48.648
11.8333	NA	73835	39444	54738	5343	33484	48.972
19	NA	104406	22370	33388	5580	18347	47.608
13.8333	NA	13557	43464	36598	5199	37311	47.988
12.6667	1.811965812	14742	49005	49851	4902	37642	49.392
20.8333	NA	36216	39752	35734	5015	31094	48.676
28.5	NA	16866	23091	31925	5082	37879	49.148
16.1667	1.894608074	10627	33758	36251	4615	36096	49.94
23.5	NA	4929	23904	22090	4645	35543	48.368
16.3333	NA	11171	27079	21562	4852	34016	47.668
11.8333	1.927833954	18790	43587	50935	4915	35530	48.976
14.5	1.700396344	12363	26777	32162	5015	32788	48.948
39	NA	24610	49350	58840	4842	37798	48.952
6.83333	2.777900961	5412	21758	28130	4959	32833	48.136
7.33333	1.764262767	9027	42553	43867	5114	31895	49.356
10.1667	2.014421426	8737	34253	36065	5224	32976	48.62
11.8333	1.567714056	13653	32846	27548	4923	34220	49.26
13.6667	NA	7676	32279	44725	5427	29421	47.808
7	NA	36489	51018	39307	5353	31448	49.336
6.5	3.609605326	4206	27558	40568	4809	44299	51.4
9.16667	NA	11154	6819	9102	4626	38964	49.792
5.66667	3.18267148	4155	27911	25143	5191	36277	48.048
16.5	NA	10499	23504	29102	4831	37398	48.924
12.3333	NA	27441	28040	27674	9281	34391	48.776
7.66667	NA	6053	12241	12127	5069	32752	48.516
15.6667	2.921243665	7301	35361	29903	4986	32376	48.796
10	NA	9385	6670	8764	8804	35645	48.312
10.5	NA	32425	13317	18930	8940	43540	49.264
8.66667	1.754635134	31121	53309	52374	5289	34586	49.768
13.6667	1.682696177	9940	54477	55509	4842	39250	50.04
16.5	NA	11825	30044	41681	4628	29195	49.9
17.3333	NA	24659	38418	41078	5467	39479	48.72
14.1667	NA	17427	48551	46685	5321	29367	48.508
10.6667	NA	8486	44303	39295	4542	38369	49.8
14.1667	NA	15277	50249	49435	5035	33492	49.368
9	4.017445962	31182	71646	81745	5722	41248	49.736
10.1667	NA	14187	23238	23547	4923	32854	49.2
9	NA	18003	28819	40940	5059	31254	48.88
6.66667	NA	62286	48476	50221	5135	36131	49.2
12.8333	NA	5959	21033	17024	5066	40292	48.42
15.5	NA	4671	20470	24864	5505	30018	47.884
15.8333	NA	61176	21785	18112	4936	31942	48.944
13	1.926425099	9052	31484	28456	4689	34313	48.66
22	2.55105938	21994	64563	53689	4880	33820	49.404
9.83333	NA	17129	40640	34586	5231	34821	49.668
14.3333	2.005834406	11655	41863	46851	4667	36475	49.84
13.6667	NA	6543	31503	35124	5149	42274	48.216
16	NA	16898	31107	36862	4981	35636	48.704
10	1.552075592	18838	39882	44451	8735	29500	48.608
6.33333	NA	23019	34599	34729	5322	32558	48.5
6.83333	2.113932208	7759	31832	46960	5222	33135	49.196
8.66667	2.397999605	96181	32277	32683	4889	38323	48.856
7.5	NA	7710	35334	39683	4690	36184	50.028
10.3333	NA	30185	45450	40631	5168	31784	49.132
12.6667	NA	13304	23416	23531	4977	42302	49.424
12.1667	NA	7852	42851	27308	5623	31966	49.008
12.1667	1.573727422	9135	26548	19569	5366	33111	48.516
23.6667	NA	38242	27885	25647	7009	27428	48.728
19.8333	2.489295715	33211	47972	45517	4959	40978	49.372
13.8333	2.092990701	30003	45093	58521	5134	38390	48.64
12.5	NA	36195	30359	29631	5319	37048	48.944
9.83333	NA	31709	38739	53627	5425	29763	49.312
12.6667	3.448519912	17803	43506	45207	4818	36189	50.824
21.5	NA	60514	30973	34532	4834	30509	49.38
11.5	NA	91891	22719	19538	5177	30111	48.816
14.3333	NA	17752	36592	42694	4765	43162	49.704
21	NA	7681	37929	32973	6205	36950	47.696
10.8333	2.297876375	10548	35367	43532	14638	38974	47.764
22	NA	7573	26250	25202	9693	41051	48.604
25.8333	NA	15863	16649	20625	5533	37101	48.568
27.1667	NA	10285	23267	23961	14657	36593	48.332
64	NA	4486	15727	15250	32696	41617	47.88
32.6667	NA	21020	11366	11697	30325	38956	48.028
22.1667	NA	15431	35295	38239	5671	31841	48.54
10.5	3.058898037	12632	26927	24401	7278	39422	49.404
20.6667	NA	5371	22838	17775	10439	33879	48.276
45.8333	NA	7183	13775	25431	25785	42703	47.104
59.1667	NA	14909	21693	19215	21339	41434	48.192
21	NA	16753	30904	40096	5407	42291	49.124
15.8333	2.246136634	14301	32562	59709	6215	37467	49.716
54.3333	NA	24744	12266	15859	31753	40909	48.164
50	NA	26035	7404	8504	37422	50096	48.032
71.6667	NA	6726	5938	8188	43985	41398	46.496
52.8333	NA	839	5669	7589	41465	43797	47.128
56.8333	NA	15405	6671	8000	42984	44210	46.544
48.3333	10.00853485	1406	6320	8144	32852	40225	46.484
38	NA	58783	38673	52329	5987	37261	49.216
37	NA	33050	24147	23442	5332	34385	49.068
12.1667	NA	10214	47244	39476	5244	30721	48.844
24.1667	1.602669564	6443	22683	26441	4787	35894	48.06
58.5	2.413394216	3285	21548	18411	4812	37842	47.88
23.5	1.784912492	8285	23223	23895	5321	41606	48.34
6.66667	NA	15148	43717	46020	4585	36982	49.764
15	NA	7578	24298	28184	5285	29819	49.316
23.5	NA	27450	23497	43043	5184	35470	49.324
11.5	2.491853911	12951	37124	41359	5137	30821	48.34
11.6667	NA	171886	20171	30927	5034	35862	49.024
12.5	2.482598608	6896	22925	30177	14117	30527	48.28
12	NA	13863	18952	19851	24245	39534	47.28
3.66667	2.441967013	6548	34863	32039	20689	35849	47.896
8.5	5.136433994	13567	39197	36964	4945	34175	49.296
9	1.707997853	5589	18832	23648	4844	35637	48.868
5.66667	NA	68939	30162	38596	4964	36867	49.116
4.33333	NA	12505	21964	28554	4910	27471	48.88
3.66667	2.446467218	15710	34207	48327	5243	34594	48.948
4.33333	2.80185339	22877	57653	53488	5518	30570	48.112
3.66667	3.136147493	23974	17322	15357	4985	39932	49.216
8.83333	3.107249719	72858	49050	55070	4936	31723	49.36
4.66667	NA	13637	47285	46025	5313	32490	47.828
4	1.936504916	31530	42687	63134	4476	36715	50.868
8.33333	3.132302796	17596	48229	43240	5116	36335	48.992
4.66667	NA	106002	46372	54339	5005	36997	49.008
6.83333	NA	149370	25873	17242	4972	37967	49.108
8.33333	NA	17252	39390	44843	4994	36737	50.172
8.83333	2.010847185	19913	24899	21093	5023	39431	48.552
21.5	NA	6769	28365	23994	4960	39607	48.096
6.33333	NA	12943	24472	32458	4685	43567	49.28
7.83333	1.784861639	7372	40500	36652	4880	35799	48.752
5.16667	NA	29180	54433	47564	5043	37199	49.288
2.5	NA	76333	48697	33523	5164	33442	49.476
3.83333	NA	9177	25090	20453	5195	35203	48.112
1.66667	NA	7701	27381	25888	4901	30434	48.336
6.66667	NA	8121	31868	27497	5292	33983	48.3
4.16667	NA	9504	18143	12912	5185	19611	48.576
2.83333	1.92435565	13114	37690	43710	4658	45121	50.156
6.16667	1.927357513	19300	38536	40899	5453	26632	49.08
3.16667	NA	21093	31772	50845	5061	31790	49.18
2	1.658174098	11304	39130	49807	4847	34712	48.648
3.16667	2.68617466	13157	37919	29452	5292	35798	49.024
5.33333	NA	16343	36357	36319	5012	32837	49.476
